Gene Name,Annotation,Probe Name,ctrl CD4 LN 35147,ctrl CD4 LN 35595,ctrl CD4 LN 35143,ctrl CD4 LN 35599,ctrl CD4 LN 35603,ctrl CD8 LN 35599,ctrl CD8 LN 35595,ctrl CD8 LN 35601,ctrl CD8 LN 35143,ctrl CD8 LN 35147,ctrl CD4 THY 35598,ctrl CD4 THY 35660,ctrl CD4 THY 35596,ctrl CD8 THY 35596,case CD4 LN 35788,case CD4 LN 37429,case CD4 LN 39350,case CD4 BL 37696,case CD4 BL 40695,case CD4 BL 36398,case CD4 BL 38495,case CD4 BL 39310,case CD4 BL 36722,case CD4 BL 39465,case CD8 LN 37564,case CD8 LN 39428,case CD8 LN 38310,case CD8 LN 38989,case CD8 LN 39210,case CD8 LN 39726,case CD8 BL 41636,case CD8 BL 37657,case CD8 BL 36764,case CD8 BL 39504,case CD8 BL 42286,case CD8 BL 38890,case CD8 BL 38306,case 4n8n LN 36284,case 4n8n LN 38360,case 4n8n LN 38526,case 4n8n  BL 36241,case 4n8n BL 36393,case 4n8n BL 37445,case 4n8n BL 38000,case 4n8n BL 38104,case 4n8n BL 39346,case 4n8n BL 42188,case 4n8n BL 39468,
,,,20150826_206461150317_35147 cCD4_11.RCC,20150901_206461060317_35595 cCD4_11.RCC,20150903_206461070317_35143 cCD4_05.RCC,20150902_206461080317_35599 cCD4_11.RCC,20150902_206461080317_35603 cCD4_12.RCC,20150903_206461070317_35599 cCD8_10.RCC,20150902_206461080317_35595 cCD8_04.RCC,20150903_206461070317_35601 cCD8_11.RCC,20150903_206461070317_35143 cCD8_06.RCC,20150826_206461150317_35147 cCD8_12.RCC,20150903_206461070317_35598 ctCD4_09.RCC,20150903_206461070317_35660 ctCD4_12.RCC,20150903_206461070317_35596 ctCD4_07.RCC,20150903_206461070317_35596 ctCD8_08.RCC,20150826_206461150317_35788 CD4_01.RCC,20150901_206461060317_37429 CD4_01.RCC,20150902_206461080317_39350 CD4 RR_03.RCC,20150901_206461060317_37696 CD4_02.RCC,20150902_206461080317_40695 CD4_08.RCC,20150826_206461150317_36398 CD4_05.RCC,20150901_206461060317_38495 CD4_08.RCC,20150903_206461070317_39310 CD4_01.RCC,20150826_206461150317_36722 CD4_06.RCC,20150902_206461080317_39465 CD4_06.RCC,20150826_206461150317_37564 CD8_09.RCC,20150902_206461080317_39428 CD8_05.RCC,20150901_206461060317_38310 CD8_06.RCC,20150902_206461080317_38989 CD8 RR_01.RCC,20150902_206461080317_39210 CD8_02.RCC,20150902_206461080317_39726 CD8_07.RCC,20150902_206461080317_41636 CD8_09.RCC,20150826_206461150317_37657 CD8_10.RCC,20150826_206461150317_36764 CD8_07.RCC,20150903_206461070317_39504 CD8_03.RCC,20150903_206461070317_42286 CD8_04.RCC,20150901_206461060317_38890 CD8_10.RCC,20150901_206461060317_38306 CD8_05.RCC,20150826_206461150317_36284 4n8n_03.RCC,20150901_206461060317_38360 4n8n_07.RCC,20150901_206461060317_38526 4n8n_09.RCC,20150826_206461150317_36241 4n8n_02.RCC,20150826_206461150317_36393 4n8n_04.RCC,20150826_206461150317_37445 4n8n_08.RCC,20150901_206461060317_38000 4n8n_03.RCC,20150901_206461060317_38104 4n8nRR_04.RCC,20150901_206461060317_39346 4n8n__12.RCC,20150902_206461080317_42188 4n8n_10.RCC,20150903_206461070317_39468 4-8-_02.RCC,
,,,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2A,,,28,32,27,35,47,145,99,76,122,82,115,109,79,165,144,73,298,573,327,130,158,493,271,232,183,305,155,390,162,77,284,305,71,198,163,68,222,693,243,192,34,92,179,51,257,103,326,698,
ACTN1,,,855,1356,1179,1209,906,1153,1238,967,843,1102,733,983,980,990,146,2191,505,2733,1656,1525,819,1524,2158,1662,990,1850,1843,1387,1130,1975,2048,1458,2054,1851,1469,2070,913,960,930,1150,1070,906,1713,1312,1143,2143,1232,1985,
ACVR1C,eCD8,,12,1,1,5,17,14,5,4,4,9,1,1,1,1,5,14,19,2,1,6,2,1,1,31,3,8,1,19,7,1,2,1,4,4,1,5,1,1,1,4,1,2,5,7,7,18,5,3,
ADAM12,Th17,,26,40,45,31,18,6,8,8,11,2,93,181,106,509,15,17,8,3,1,3,2,2,3,1,2,60,1,17,19,1,2,15,3,5,1,3,1,10,1,1,1,1,1,1,5,1,1,1,
AKAP2,Treg,,19,63,26,31,38,22,38,15,15,3,683,1299,768,1247,245,229,52,117,8,1,3,16,11,1,56,115,6,130,19,4,8,117,5,10,1,1,2,1,1,10,15,4,8,1,1,1,14,85,
ATP1B1,Th17,,210,529,290,822,523,2904,1995,1832,1294,1297,2608,2724,1941,3425,456,79,512,2137,474,343,98,2101,817,220,1373,236,50,72,43,24,323,41,1192,1280,1119,746,2142,27,39,1,553,1365,1335,207,389,1293,62,474,
BCAT1,Tfh,,1250,988,1396,1008,1047,1043,897,1162,1297,1297,861,1228,990,1147,872,313,1276,968,863,1136,1,188,162,6,2188,228,1067,1403,469,233,1029,535,71,57,825,86,1096,2243,836,185,188,191,116,220,1432,1406,1453,390,
